index_ndx,bathroom_label,bathrooms,bed_label,bedroom_label,bedrooms,beds,city,guest_label,id,is_new_listing,is_superhost,lat,lng,localized_city,person_capacity,property_type_id,room_and_property_type,room_type_category,room_type,space_type,tier_id,public_address,min_nights,max_nights,monthly_price_factor,rate_type,weekly_price_factor,rate_amount,rate_with_service_fee_amount,user_first_name,user_id,user_is_superhost,rawdata_file
0,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,4 guests,34096240,False,True,39.57524,-106.09929,Frisco,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",1,29,1.0,nightly,1.0,75.0,75.0, ,257475701,True,airbnb_rawdata_frisco_20200303.json
1,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,15139850,False,True,39.57663,-106.09745,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",3,30,0.8,nightly,0.9,99.0,99.0, ,96008343,True,airbnb_rawdata_frisco_20200303.json
2,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,4 guests,7110496,False,True,39.57592,-106.10703,Frisco,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",2,30,1.0,nightly,0.85,100.0,100.0, ,37247945,True,airbnb_rawdata_frisco_20200303.json
3,1 bath,1.0,1 bed,Studio,0,1,Frisco,2 guests,22726840,False,True,39.5816,-106.10732,Frisco,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Frisco, CO, United States",2,15,1.0,nightly,0.95,95.0,95.0, ,43632296,True,airbnb_rawdata_frisco_20200303.json
4,1 bath,1.0,1 bed,Studio,0,1,Frisco,2 guests,19456763,False,True,39.57515,-106.10992,Frisco,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Frisco, CO, United States",1,14,1.0,nightly,0.9,64.0,64.0, ,867489,True,airbnb_rawdata_frisco_20200303.json
5,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,22733570,False,True,39.57781,-106.10372,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,0.75,nightly,0.85,99.0,99.0, ,167820126,True,airbnb_rawdata_frisco_20200303.json
6,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,2 guests,17480205,False,False,39.57516,-106.10298,Frisco,2,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",3,1125,0.71,nightly,0.86,80.0,80.0, ,118415528,False,airbnb_rawdata_frisco_20200303.json
7,1 private bath,1.0,1 bed,1 bedroom,1,1,Frisco,2 guests,17588809,False,True,39.58258,-106.09662,Frisco,2,2,Private room in house,private_room,Private room,Private room,0,"Frisco, CO, United States",1,3,1.0,nightly,1.0,65.0,65.0, ,7337460,True,airbnb_rawdata_frisco_20200303.json
8,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,3 guests,9171533,False,True,39.57569,-106.10215,Frisco,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,35,0.8,nightly,0.9,95.0,95.0, ,141040,True,airbnb_rawdata_frisco_20200303.json
9,1 private bath,1.0,1 bed,1 bedroom,1,1,Frisco,2 guests,41011160,False,False,39.57746,-106.10585,Frisco,2,37,Private room in condominium,private_room,Private room,Private room,0,"Frisco, CO, United States",1,1125,0.88,nightly,0.95,74.0,74.0, ,320031849,False,airbnb_rawdata_frisco_20200303.json
10,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,26204986,False,True,39.5725,-106.09261,Frisco,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",2,1125,1.0,nightly,1.0,129.0,129.0, ,197368,True,airbnb_rawdata_frisco_20200303.json
11,1.5 baths,1.5,1 bed,1 bedroom,1,1,Frisco,2 guests,21097891,False,True,39.584,-106.09059,Frisco,2,36,Private room in townhouse,private_room,Private room,Private room,0,"Frisco, CO, United States",1,1125,1.0,nightly,1.0,85.0,85.0, ,12657548,True,airbnb_rawdata_frisco_20200303.json
12,1 private bath,1.0,1 bed,1 bedroom,1,1,Frisco,3 guests,19193969,False,False,39.58724,-106.09405,Frisco,3,1,Private room in apartment,private_room,Private room,Private room,0,"Frisco, CO, United States",1,1125,0.8,nightly,0.85,89.0,89.0, ,134264714,False,airbnb_rawdata_frisco_20200303.json
13,2 baths,2.0,5 beds,2 bedrooms,2,5,Frisco,8 guests,2889266,False,True,39.57542,-106.09873,Frisco,8,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,30,1.0,nightly,1.0,55.0,55.0, ,14766180,True,airbnb_rawdata_frisco_20200303.json
14,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,13061815,False,True,39.57654,-106.1115,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,45,0.75,nightly,0.9,125.0,125.0, ,72350140,True,airbnb_rawdata_frisco_20200303.json
15,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,4 guests,15311604,False,True,39.47634,-106.04676,Breckenridge,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",1,7,1.0,nightly,1.0,65.0,65.0, ,19056065,True,airbnb_rawdata_frisco_20200303.json
16,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,3 guests,786890,False,True,39.57477,-106.10129,Frisco,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,90,0.8,nightly,0.9,90.0,90.0, ,141040,True,airbnb_rawdata_frisco_20200303.json
17,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,1839740,False,True,39.59329,-106.09125,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,30,0.9,nightly,1.0,110.0,110.0, ,9615270,True,airbnb_rawdata_frisco_20200303.json
18,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,21345453,False,True,39.58559,-106.09946,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",1,1125,0.58,nightly,0.75,68.0,68.0, ,27673701,True,airbnb_rawdata_frisco_20200303.json
19,1 bath,1.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,19141397,False,True,39.56995,-106.0924,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,120,0.85,nightly,0.9,129.0,129.0, ,73151671,True,airbnb_rawdata_frisco_20200303.json
20,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,16087658,False,True,39.57663,-106.09745,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",3,30,1.0,nightly,1.0,110.0,110.0, ,96008343,True,airbnb_rawdata_frisco_20200303.json
21,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,32739593,False,True,39.57192,-106.09404,Frisco,4,2,Entire house,entire_home,Entire home/apt,Entire house,0,"Frisco, CO, United States",2,60,0.9,nightly,0.9,134.0,134.0, ,197368,True,airbnb_rawdata_frisco_20200303.json
22,1 private bath,1.0,1 bed,1 bedroom,1,1,Frisco,1 guest,9188457,False,False,39.59268,-106.09224,Frisco,1,36,Private room in townhouse,private_room,Private room,Private room,0,"Frisco, CO, United States",2,6,1.0,nightly,0.86,70.0,70.0, ,47788198,False,airbnb_rawdata_frisco_20200303.json
23,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,17170960,False,True,39.57614,-106.09438,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,14,1.0,nightly,0.85,139.0,139.0, ,115511738,True,airbnb_rawdata_frisco_20200303.json
24,1 bath,1.0,2 beds,Studio,0,2,Frisco,4 guests,24466694,False,False,39.57651,-106.11086,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,1125,1.0,nightly,1.0,85.0,85.0, ,28055699,False,airbnb_rawdata_frisco_20200303.json
25,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,2 guests,32323586,False,True,39.58705,-106.09858,Frisco,2,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,0.8,nightly,0.9,175.0,175.0, ,88797677,True,airbnb_rawdata_frisco_20200303.json
26,1 bath,1.0,3 beds,2 bedrooms,2,3,Frisco,5 guests,38775120,False,True,39.57647,-106.1003,Frisco,5,36,Entire townhouse,entire_home,Entire home/apt,Entire townhouse,0,"Frisco, CO, United States",1,90,1.0,nightly,1.0,150.0,150.0, ,295198560,True,airbnb_rawdata_frisco_20200303.json
27,1.5 baths,1.5,2 beds,1 bedroom,1,2,Breckenridge,4 guests,28985774,False,False,39.48285,-106.06858,Breckenridge,4,65,Private room in resort,private_room,Private room,Resort room,0,"Breckenridge, CO, United States",7,1125,1.0,nightly,1.0,89.0,89.0, ,218314970,False,airbnb_rawdata_frisco_20200303.json
28,1 bath,1.0,1 bed,1 bedroom,1,1,Silverthorne,2 guests,15827979,False,True,39.65053,-106.08901,Silverthorne,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Silverthorne, CO, United States",1,30,0.82,nightly,0.9,75.0,75.0, ,39162609,True,airbnb_rawdata_frisco_20200303.json
29,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,4 guests,21592824,False,False,39.59111,-106.09326,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,14,1.0,nightly,1.0,120.0,120.0, ,135839016,False,airbnb_rawdata_frisco_20200303.json
30,1 bath,1.0,1 bed,Studio,0,1,Frisco,4 guests,38882178,False,True,39.5757,-106.10085,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,18,0.8,nightly,0.9,104.0,104.0, ,133030781,True,airbnb_rawdata_frisco_20200303.json
31,1 bath,1.0,3 beds,2 bedrooms,2,3,Keystone,4 guests,37685124,False,False,39.60113,-105.97302,Keystone,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Keystone, CO, United States",14,1125,0.8,nightly,1.0,79.0,79.0, ,284810305,False,airbnb_rawdata_frisco_20200303.json
32,2 baths,2.0,0 beds,2 bedrooms,2,0,Frisco,7 guests,11551167,False,False,39.57018,-106.09398,Frisco,7,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",1,28,0.97,nightly,0.97,120.0,120.0, ,4315444,False,airbnb_rawdata_frisco_20200303.json
33,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,5 guests,33808863,False,True,39.57552,-106.10877,Frisco,5,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,30,1.0,nightly,1.0,76.0,76.0, ,87276131,True,airbnb_rawdata_frisco_20200303.json
34,2 baths,2.0,3 beds,1 bedroom,1,3,Breckenridge,6 guests,13829376,False,True,39.48069,-106.03738,Breckenridge,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",1,7,1.0,nightly,1.0,85.0,85.0, ,19056065,True,airbnb_rawdata_frisco_20200303.json
35,2 baths,2.0,3 beds,1 bedroom,1,3,Copper Mountain,6 guests,17894654,False,False,39.49951,-106.15589,Copper Mountain,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Copper Mountain, CO, United States",2,1125,0.9,nightly,0.9,99.0,99.0, ,122577793,False,airbnb_rawdata_frisco_20200303.json
36,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,18123669,False,True,39.57698,-106.09795,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",3,30,1.0,nightly,1.0,120.0,120.0, ,96008343,True,airbnb_rawdata_frisco_20200303.json
37,1 private bath,1.0,2 beds,1 bedroom,1,2,Frisco,3 guests,13997843,False,True,39.58142,-106.0949,Frisco,3,53,Private room in guest suite,private_room,Private room,Private room,0,"Frisco, CO, United States",2,14,0.75,nightly,0.95,90.0,90.0, ,83616110,True,airbnb_rawdata_frisco_20200303.json
38,2.5 baths,2.5,5 beds,3 bedrooms,3,5,Frisco,8 guests,21467740,False,True,39.5725,-106.09261,Frisco,8,22,Entire chalet,entire_home,Entire home/apt,Entire chalet,0,"Frisco, CO, United States",2,60,1.0,nightly,1.0,269.0,269.0, ,197368,True,airbnb_rawdata_frisco_20200303.json
39,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,18757963,False,True,39.58905,-106.09348,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,28,1.0,nightly,1.0,101.0,101.0, ,24526074,True,airbnb_rawdata_frisco_20200303.json
40,1 bath,1.0,2 beds,Studio,0,2,Frisco,4 guests,21113061,False,True,39.57481,-106.1097,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,1.0,nightly,0.9,104.0,104.0, ,39088096,True,airbnb_rawdata_frisco_20200303.json
41,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,20284156,False,False,39.57587,-106.10958,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1124,0.8,nightly,0.85,129.0,129.0, ,2079702,False,airbnb_rawdata_frisco_20200303.json
42,1 bath,1.0,5 beds,2 bedrooms,2,5,Frisco,6 guests,821849,False,False,39.56921,-106.09306,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,1125,1.0,nightly,1.0,100.0,100.0, ,4315444,False,airbnb_rawdata_frisco_20200303.json
43,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,40090917,False,True,39.59155,-106.09147,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,30,1.0,nightly,1.0,110.0,110.0, ,9615270,True,airbnb_rawdata_frisco_20200303.json
44,1 bath,1.0,3 beds,1 bedroom,1,3,Frisco,4 guests,21332053,False,False,39.57114,-106.10083,Frisco,4,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,0,"Frisco, CO, United States",1,28,1.0,nightly,1.0,169.0,169.0, ,112439312,False,airbnb_rawdata_frisco_20200303.json
45,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,39200816,False,False,39.56882,-106.09465,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,28,1.0,nightly,1.0,119.0,119.0, ,188510745,False,airbnb_rawdata_frisco_20200303.json
46,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,32292875,False,False,39.57478,-106.10963,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",1,1125,0.92,nightly,0.97,100.0,100.0, ,34475953,False,airbnb_rawdata_frisco_20200303.json
47,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,29934778,False,True,39.62964,-106.04234,Dillon,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,1125,0.92,nightly,0.96,40.0,40.0, ,97153287,True,airbnb_rawdata_frisco_20200303.json
48,1 bath,1.0,2 beds,Studio,0,2,Frisco,4 guests,26948354,False,True,39.57497,-106.10271,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,0.95,nightly,0.95,125.0,125.0, ,202765434,True,airbnb_rawdata_frisco_20200303.json
49,1.5 baths,1.5,2 beds,1 bedroom,1,2,Frisco,4 guests,5990706,False,True,39.58427,-106.09535,Frisco,4,36,Entire townhouse,entire_home,Entire home/apt,Entire townhouse,0,"Frisco, CO, United States",1,14,1.0,nightly,1.0,175.0,175.0, ,7627259,True,airbnb_rawdata_frisco_20200303.json
0,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,29934778,False,True,39.62964,-106.04234,Dillon,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,1125,0.92,nightly,0.96,40.0,40.0, ,97153287,True,airbnb_rawdata_dillon_20200303.json
1,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21419521,False,True,39.63076,-106.03935,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,1,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,60.0,60.0, ,608092,True,airbnb_rawdata_dillon_20200303.json
2,1 bath,1.0,2 beds,2 bedrooms,2,2,Dillon,4 guests,20248194,False,True,39.63405,-106.04837,Dillon,4,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Dillon, CO, United States",1,1125,0.9,nightly,0.95,49.0,49.0, ,63723250,True,airbnb_rawdata_dillon_20200303.json
3,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,21305207,False,True,39.63273,-106.04775,Dillon,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,7,1.0,nightly,0.83,90.0,90.0, ,44094444,True,airbnb_rawdata_dillon_20200303.json
4,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,4 guests,10416349,False,False,39.63141,-106.0426,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,31,0.8,nightly,0.85,69.0,69.0, ,14946264,False,airbnb_rawdata_dillon_20200303.json
5,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,4 guests,9531779,False,False,39.6336,-106.04722,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,1125,1.0,nightly,0.84,109.0,109.0, ,49374531,False,airbnb_rawdata_dillon_20200303.json
6,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,21924484,False,True,39.62975,-106.04372,Dillon,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",2,1125,0.9,nightly,0.9,85.0,85.0, ,25263370,True,airbnb_rawdata_dillon_20200303.json
7,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,27341250,False,True,39.63047,-106.04018,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,1.0,nightly,1.0,75.0,75.0, ,74898149,True,airbnb_rawdata_dillon_20200303.json
8,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21260669,False,False,39.62964,-106.04002,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,1.0,nightly,0.86,75.0,75.0, ,10010429,False,airbnb_rawdata_dillon_20200303.json
9,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,31295668,False,True,39.63308,-106.04665,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,16,1.0,nightly,1.0,75.0,75.0, ,57580997,True,airbnb_rawdata_dillon_20200303.json
10,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,2 guests,28895670,False,False,39.62716,-106.04438,Dillon,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,89.0,89.0, ,217823611,False,airbnb_rawdata_dillon_20200303.json
11,1 bath,1.0,1 bed,Studio,0,1,Keystone,2 guests,32868558,False,True,39.63055,-106.04335,Keystone,2,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Keystone, CO, United States",1,14,1.0,nightly,1.0,70.0,70.0, ,189958955,True,airbnb_rawdata_dillon_20200303.json
12,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,16846825,False,True,39.63363,-106.04495,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,0.8,nightly,0.9,79.0,79.0, ,112182331,True,airbnb_rawdata_dillon_20200303.json
13,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,26924993,False,True,39.63153,-106.04563,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,29,1.0,nightly,0.85,109.0,109.0, ,202598029,True,airbnb_rawdata_dillon_20200303.json
14,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,25266731,False,True,39.63041,-106.04279,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,20,1.0,nightly,0.9,99.0,99.0, ,29150472,True,airbnb_rawdata_dillon_20200303.json
15,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,15548155,False,True,39.63255,-106.04548,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,0.66,nightly,0.82,92.0,92.0, ,85517494,True,airbnb_rawdata_dillon_20200303.json
16,1 private bath,1.0,1 bed,Studio,0,1,Dillon,2 guests,26137125,False,True,39.63457,-106.04271,Dillon,2,2,Private room in house,private_room,Private room,Private room,0,"Dillon, CO, United States",1,1125,1.0,nightly,1.0,90.0,90.0, ,196472336,True,airbnb_rawdata_dillon_20200303.json
17,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,14808121,False,True,39.62696,-106.05101,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,98.0,98.0, ,25720587,True,airbnb_rawdata_dillon_20200303.json
18,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,3 guests,29024974,False,True,39.63085,-106.04346,Dillon,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",2,1125,0.92,nightly,0.96,40.0,40.0, ,97153287,True,airbnb_rawdata_dillon_20200303.json
19,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21281387,False,True,39.63076,-106.03935,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,55.0,55.0, ,608092,True,airbnb_rawdata_dillon_20200303.json
20,2 baths,2.0,1 bed,1 bedroom,1,1,Dillon,2 guests,21161419,False,True,39.62804,-106.05061,Dillon,2,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,1,"Dillon, CO, United States",1,45,0.85,nightly,0.9,105.0,105.0, ,150328137,True,airbnb_rawdata_dillon_20200303.json
